transaction_id,order_date,customer_id,customer_name,region,product_category,quantity,unit_price,total_amount,payment_mode,order_status,created_timestamp
300037,07-03-2024,3646,Customer_4096,SOUTH,Groceries,5,4321.04,21605.2,Credit Card,completed,10:22.0
300038,04-05-2024,3358,Customer_4228,East,Electronics,1,523.83,523.83,Credit Card,completed,10:22.0
300039,12/22/2023,1448,Customer_4188,north ,Groceries,2,2636.92,5273.84,,Completed,10:22.0
300040,,4907,Customer_3626,SOUTH,Furniture,4,881.02,3524.08,Debit Card,Pending,10:22.0
300041,,2808,Customer_2269,SOUTH,Electronics,1,4484.6,4484.6,,,10:22.0
300042,05-10-2022,4865,Customer_5516,West,Clothing,4,4178.49,16713.96,UPI,Cancelled,10:22.0
300043,09-08-2022,4934,Customer_2929,East,Electronics,2,4676.19,9352.38,Cash,Pending,10:22.0
300044,21-05-2023,1358,Customer_1302,North,Electronics,2,4387.41,8774.82,Debit Card,Pending,10:22.0
300045,06-10-2022,3916,Customer_4164,north ,Electronics,1,3709.11,3709.11,Cash,Pending,10:22.0
300046,09-07-2023,3919,Customer_5490,East,Clothing,2,1005.96,2011.92,Cash,Pending,10:22.0
300047,30-05-2022,4232,Customer_1608,West,Electronics,5,1582.26,7911.3,,Completed,10:22.0
300048,09-03-2022,3239,Customer_5341,East,Groceries,2,2534.59,5069.18,UPI,completed,10:22.0
300049,21-05-2023,1475,Customer_4167,East,Electronics,4,2985.59,11942.36,UPI,completed,10:22.0
300050,04/28/2023,1137,Customer_2440,West,Electronics,4,3932.7,15730.8,UPI,,10:22.0
300051,06-02-2022,2891,Customer_4626,South,Clothing,4,1212.1,4848.4,,completed,10:22.0
300052,31-12-2023,2965,Customer_2108,South,Electronics,4,728.56,2914.24,Credit Card,,10:22.0
300053,10-09-2022,3558,Customer_4553,South,Groceries,5,2464.79,15330.25,credit card,Cancelled,10:22.0
300054,26-01-2022,4016,Customer_445,North,Clothing,3,873.42,2620.26,Debit Card,completed,10:22.0
300055,13-05-2022,1473,Customer_740,,Clothing,1,3499.31,3499.31,Cash,Cancelled,10:22.0
300056,29-05-2022,1496,Customer_543,,Groceries,4,2920.59,11682.36,,Cancelled,10:22.0
300057,,1109,Customer_5233,north ,Clothing,2,3731.43,7462.86,Cash,Pending,10:22.0
300058,04/24/2024,4122,Customer_4559,,Electronics,4,410.84,1643.36,Cash,,10:22.0
300059,03-03-2022,1801,Customer_3825,,Groceries,2,4827.02,9654.04,Cash,Completed,10:22.0
300060,15-07-2022,1909,Customer_5430,SOUTH,Clothing,2,100.03,200.06,Debit Card,,10:22.0
300061,04-10-2022,4752,Customer_1192,North,Groceries,4,1694.67,6778.68,credit card,,10:22.0
300062,03/16/2024,2497,Customer_5043,,Furniture,5,3430.21,17151.05,,,10:22.0
300063,25-01-2023,2380,Customer_202,North,Furniture,2,321.2,642.4,credit card,Completed,10:22.0
300064,08-04-2022,2502,Customer_1480,West,Groceries,2,508.41,1016.82,Debit Card,completed,10:22.0
300065,25-02-2022,3030,Customer_3673,SOUTH,Furniture,4,475.74,1902.96,credit card,Completed,10:22.0
300066,01-12-2024,2317,Customer_3748,North,Clothing,2,2949.4,5898.8,Cash,Completed,10:22.0
300067,09/25/2023,3607,Customer_4102,north ,Groceries,2,4490.03,8980.06,Credit Card,Completed,10:22.0
300068,10-04-2023,4498,Customer_1559,East,Clothing,4,2821.64,11286.56,,Cancelled,10:22.0
300069,01-05-2022,1027,Customer_4708,West,Electronics,4,3057.5,12230,,Cancelled,10:22.0
300070,20-10-2023,1375,Customer_5524,,Groceries,1,1795.41,1795.41,UPI,Pending,10:22.0
300071,24-11-2022,1936,Customer_3005,,Groceries,5,191.83,959.15,Debit Card,,10:22.0
300072,27-02-2024,2259,Customer_5207,South,Clothing,5,205.91,1029.55,,,10:22.0
300073,19-08-2022,1487,Customer_855,North,Electronics,2,4452.72,8905.44,credit card,completed,10:22.0
300074,30-03-2022,3999,Customer_629,West,Electronics,5,602.6,3013,,completed,10:22.0
300075,01-04-2024,4024,Customer_1316,SOUTH,Electronics,2,4998.97,9997.94,Cash,Completed,10:22.0
300076,11/22/2023,2401,Customer_5421,North,Electronics,1,905.67,1034.64,Credit Card,Cancelled,10:22.0
300077,16-04-2023,3635,Customer_1366,north ,Furniture,4,3405.71,13011.75,Cash,Pending,10:22.0
300078,05/21/2023,3010,Customer_2391,South,Clothing,4,4749.88,18999.52,Credit Card,completed,10:22.0
300079,07/28/2023,4392,Customer_5162,East,Groceries,4,1875.22,7500.88,Credit Card,Completed,10:22.0
300080,13-02-2024,3023,Customer_841,SOUTH,Furniture,5,3698.72,18493.6,Cash,Cancelled,10:22.0
300081,02/23/2024,4131,Customer_2333,East,Groceries,1,1819.2,1819.2,credit card,Cancelled,10:22.0
300082,,1224,Customer_5141,,Groceries,5,1594.21,7971.05,Debit Card,,10:22.0
300083,,4852,Customer_5350,South,Furniture,5,1088.84,4027.05,Cash,Pending,10:22.0
300084,,2476,Customer_3518,East,Groceries,1,4122.58,4122.58,Cash,completed,10:22.0
300085,02/29/2024,1051,Customer_4517,South,Groceries,1,1361.2,1361.2,,Pending,10:22.0
300086,09/19/2023,4684,Customer_1189,north ,Clothing,1,1487.47,1487.47,credit card,,10:22.0
300087,05-10-2022,2383,Customer_5315,,Groceries,1,4994.95,4994.95,Debit Card,completed,10:22.0
300088,,3858,Customer_3361,north ,Electronics,4,1703.82,6815.28,Debit Card,completed,10:22.0
300089,26-10-2023,1731,Customer_1778,East,Furniture,3,2171.59,6514.77,Credit Card,completed,10:22.0
300090,05/14/2023,3297,Customer_5949,,Electronics,3,4951.27,14853.81,,Completed,10:22.0
300091,03/20/2024,3007,Customer_304,,Furniture,1,1909.57,1909.57,UPI,Pending,10:22.0
300092,22-12-2023,2747,Customer_999,West,Furniture,3,1894.14,5682.42,UPI,Pending,10:22.0
300093,11/13/2022,3471,Customer_5547,,Electronics,3,4155.8,12467.4,,completed,10:22.0
300094,10-02-2023,3089,Customer_1104,,Clothing,1,1628.46,1628.46,Debit Card,,10:22.0
300095,04/28/2023,2444,Customer_1044,North,Furniture,3,1245.55,3736.65,UPI,Completed,10:22.0
300096,18-08-2022,1979,Customer_5675,East,Electronics,5,2173.73,10868.65,Cash,completed,10:22.0
300097,23-01-2022,2430,Customer_74,SOUTH,Furniture,2,3533.14,7066.28,Cash,Cancelled,10:22.0
300098,22-08-2023,1322,Customer_5916,East,Clothing,2,311.89,541.66,UPI,Pending,10:22.0
300099,19-09-2022,1324,Customer_5485,North,Furniture,1,1932.19,1932.19,credit card,Pending,10:22.0
300100,02/25/2022,3382,Customer_8,north ,Groceries,4,1796.6,7186.4,Credit Card,Completed,10:22.0
300101,27-03-2023,1621,Customer_5223,SOUTH,Clothing,1,1299.61,1299.61,Credit Card,completed,10:22.0
300102,05/15/2022,1116,Customer_4952,SOUTH,Electronics,4,3306.01,12964.06,,Completed,10:22.0
300103,23-04-2022,1580,Customer_1940,East,Electronics,2,1520.95,3041.9,,Completed,10:22.0
300104,02-07-2022,3145,Customer_3725,South,Electronics,1,3072.98,3072.98,,Pending,10:22.0
300105,30-07-2023,3297,Customer_1421,North,Clothing,5,2571.25,14370.6,,Cancelled,10:22.0
300106,08-02-2023,2510,Customer_1257,North,Electronics,3,1164.23,3329.71,,Cancelled,10:22.0
300107,05-12-2024,1890,Customer_2975,West,Clothing,4,1406.17,5624.68,Debit Card,Completed,10:22.0
300108,13-03-2022,1185,Customer_1807,north ,Clothing,3,935.94,3303.35,credit card,,10:22.0
300109,02/17/2023,2766,Customer_2383,north ,Clothing,3,377.48,1132.44,UPI,Cancelled,10:22.0
300110,22-11-2022,4575,Customer_1762,East,Furniture,1,3134.02,3134.02,Credit Card,completed,10:22.0
300111,09-07-2023,2837,Customer_47,SOUTH,Electronics,3,3396.66,10189.98,Debit Card,completed,10:22.0
300112,06-08-2022,4926,Customer_4606,North,Clothing,5,913.4,4567,,completed,10:22.0
300113,28-06-2023,1430,Customer_3108,,Electronics,3,3115.42,7160.89,Credit Card,,10:22.0
300114,07/24/2022,2808,Customer_2912,,Clothing,1,4912.22,4912.22,Cash,Completed,10:22.0
300115,11/21/2022,2416,Customer_1279,South,Clothing,5,464.57,2322.85,,Completed,10:22.0
300116,03-08-2022,1835,Customer_3028,,Electronics,2,2502.82,4231.67,UPI,,10:22.0
300117,22-11-2022,3781,Customer_2841,north ,Furniture,3,3691.89,11075.67,,,10:22.0
300118,02-02-2024,2775,Customer_3125,South,Clothing,1,325.45,325.45,,Completed,10:22.0
300119,17-03-2024,4021,Customer_1110,West,Clothing,2,3913.54,9761.68,Cash,Pending,10:22.0
300120,23-09-2022,2309,Customer_4291,West,Furniture,2,4899.61,9040,,Pending,10:22.0
300121,11-08-2023,2886,Customer_1961,South,Clothing,4,533.59,2134.36,Debit Card,Cancelled,10:22.0
300122,10-10-2023,4644,Customer_1705,,Furniture,5,4128.93,20644.65,credit card,Completed,10:22.0
300123,19-05-2024,1192,Customer_4676,South,Electronics,3,1955.05,5865.15,,Completed,10:22.0
300124,21-01-2022,2434,Customer_2002,East,Groceries,1,806.17,806.17,credit card,Pending,10:22.0
300125,04-01-2024,3241,Customer_168,North,Electronics,4,2516.65,10066.6,Debit Card,Pending,10:22.0
300126,31-01-2024,4884,Customer_3477,North,Groceries,5,450.44,2252.2,credit card,completed,10:22.0
300127,,2063,Customer_4447,West,Groceries,4,2658.3,10633.2,UPI,Pending,10:22.0
300128,15-06-2024,1316,Customer_1890,north ,Groceries,5,194.85,725.83,Credit Card,,10:22.0
300129,09/30/2023,4063,Customer_2193,north ,Electronics,5,3670.2,18351,Cash,,10:22.0
300130,28-01-2024,1376,Customer_3445,East,Groceries,3,2491.05,7473.15,Credit Card,Completed,10:22.0
300131,19-07-2023,3344,Customer_3828,,Clothing,5,2348.8,11744,Cash,Pending,10:22.0
300132,01-07-2024,4273,Customer_2906,SOUTH,Groceries,4,1061.34,4245.36,Credit Card,Completed,10:22.0
300133,29-03-2024,2623,Customer_2393,north ,Furniture,5,1870.19,9350.95,UPI,,10:22.0
300134,14-09-2023,3515,Customer_516,SOUTH,Groceries,3,991.16,2466.63,UPI,Cancelled,10:22.0
300135,05/25/2024,2193,Customer_2108,West,Groceries,3,3703.41,11110.23,UPI,completed,10:22.0
300136,15-06-2024,1189,Customer_2812,West,Furniture,4,1075.22,4300.88,Cash,Cancelled,10:22.0
300137,03-01-2023,2142,Customer_4060,SOUTH,Furniture,2,3122.09,6244.18,UPI,completed,10:22.0
300138,04-06-2022,3639,Customer_3494,North,Clothing,2,1470.08,2940.16,Debit Card,Cancelled,10:22.0
300139,03-11-2024,3664,Customer_3010,East,Electronics,5,3319.21,16596.05,Credit Card,Cancelled,10:22.0
300140,17-02-2023,3597,Customer_451,SOUTH,Clothing,1,2748.23,2146.44,Debit Card,Cancelled,10:22.0
300141,05-11-2023,4819,Customer_4765,,Furniture,5,2174.85,10874.25,,Cancelled,10:22.0
300142,07-02-2022,3224,Customer_5020,West,Furniture,4,3397.7,13590.8,Debit Card,completed,10:22.0
300143,05/20/2023,2769,Customer_1638,North,Clothing,4,2137.04,8548.16,UPI,completed,10:22.0
300144,05/21/2023,1746,Customer_2823,East,Furniture,4,4124.72,16498.88,Debit Card,completed,10:22.0
300145,02-09-2024,2768,Customer_1429,SOUTH,Furniture,4,3675.03,15201.84,Debit Card,,10:22.0
300146,02-02-2024,3961,Customer_4302,East,Electronics,4,2749.13,10996.52,Credit Card,,10:22.0
300147,01-03-2024,4426,Customer_4212,South,Furniture,3,4397.6,13192.8,,Cancelled,10:22.0
300148,21-04-2024,3781,Customer_2092,north ,Electronics,2,4161.42,8322.84,Cash,Cancelled,10:22.0
300149,25-09-2022,1484,Customer_1239,north ,Clothing,4,2706.01,10824.04,,Completed,10:22.0
300150,,4844,Customer_3636,North,Furniture,1,435.39,435.39,,,10:22.0
300151,17-06-2024,2380,Customer_2659,SOUTH,Furniture,1,2873.38,2873.38,Credit Card,Completed,10:22.0
300152,09-06-2023,1650,Customer_4701,SOUTH,Furniture,1,1840.76,1840.76,Credit Card,completed,10:22.0
300153,19-05-2024,3051,Customer_5101,north ,Clothing,1,2746.55,2746.55,Cash,,10:22.0
300154,28-06-2023,3404,Customer_3891,north ,Furniture,3,3270.94,12202.41,,Pending,10:22.0
300155,01-05-2024,3108,Customer_3991,West,Clothing,1,3259.71,4113.41,Cash,,10:22.0
300156,17-02-2022,1123,Customer_5189,North,Groceries,4,3400.27,13601.08,Debit Card,completed,10:22.0
300157,01/13/2024,2906,Customer_782,North,Electronics,5,3428.42,17142.1,Credit Card,Pending,10:22.0
300158,08-03-2022,4786,Customer_4879,north ,Groceries,1,635.48,635.48,credit card,completed,10:22.0
300159,05-06-2022,4595,Customer_3198,north ,Furniture,3,1039.39,2685.94,UPI,Cancelled,10:22.0
300160,19-06-2022,2840,Customer_4259,north ,Furniture,3,3189.65,9568.95,Credit Card,,10:22.0
300161,02-06-2024,1622,Customer_11,SOUTH,Groceries,1,2100.04,2100.04,,Cancelled,10:22.0
300162,03/21/2022,2307,Customer_5704,SOUTH,Clothing,5,3837.97,19189.85,Debit Card,,10:22.0
300163,03-12-2023,4318,Customer_3442,East,Groceries,1,712.06,712.06,Debit Card,,10:22.0
300164,02/14/2023,2241,Customer_3477,North,Clothing,3,1038.46,3115.38,UPI,,10:22.0
300165,24-01-2024,4361,Customer_3727,East,Furniture,2,2836.48,5672.96,UPI,Pending,10:22.0
300166,13-02-2024,1192,Customer_4141,SOUTH,Furniture,4,2553.67,13004.17,Cash,Completed,10:22.0
300167,15-12-2023,2797,Customer_5708,north ,Clothing,3,1405.35,4216.05,Credit Card,Completed,10:22.0
300168,06-06-2023,3976,Customer_3815,north ,Groceries,1,2100.88,2100.88,UPI,Completed,10:22.0
300169,14-08-2023,3478,Customer_3592,North,Furniture,4,271.41,1085.64,,,10:22.0
300170,08-04-2023,3199,Customer_4888,SOUTH,Groceries,1,281.49,281.49,Debit Card,Pending,10:22.0
300171,30-05-2022,2057,Customer_3143,West,Groceries,1,565.14,565.14,credit card,Completed,10:22.0
300172,03-09-2024,3119,Customer_1817,,Groceries,2,2926.28,5852.56,UPI,,10:22.0
300173,06-11-2023,1015,Customer_3953,West,Clothing,4,4332.21,16000.72,,Pending,10:22.0
300174,04/28/2024,2103,Customer_5349,North,Electronics,4,1375.09,4190.02,Debit Card,completed,10:22.0
300175,28-02-2023,2295,Customer_3921,,Groceries,2,266.31,682.83,,Pending,10:22.0
300176,05-03-2024,3931,Customer_3966,,Clothing,3,3572.27,10716.81,Credit Card,Cancelled,10:22.0
300177,27-04-2022,3930,Customer_4447,North,Groceries,1,4291.23,4291.23,UPI,Pending,10:22.0
300178,28-10-2023,2505,Customer_127,East,Furniture,5,777.05,3436.26,Debit Card,,10:22.0
300179,17-04-2022,4155,Customer_3978,,Groceries,1,1990.16,1990.16,credit card,Completed,10:22.0
300180,12-08-2022,2165,Customer_4343,SOUTH,Furniture,1,877.81,877.81,UPI,completed,10:22.0
300181,06/28/2023,1633,Customer_3179,SOUTH,Groceries,3,621.15,1863.45,credit card,Completed,10:22.0
300182,,2850,Customer_4530,,Furniture,1,3276.03,3276.03,Cash,Pending,10:22.0
300183,24-05-2024,3749,Customer_3314,West,Clothing,2,4840.93,10099.28,Credit Card,Cancelled,10:22.0
300184,11-02-2023,3777,Customer_4792,South,Electronics,2,3423.01,6846.02,UPI,Cancelled,10:22.0
300185,21-11-2023,3497,Customer_1537,East,Groceries,4,4925.59,19702.36,Debit Card,Cancelled,10:22.0
300186,02-10-2022,3450,Customer_2154,SOUTH,Groceries,5,2228.54,11142.7,,Pending,10:22.0
300187,21-11-2023,4772,Customer_1328,South,Furniture,1,4499.56,4499.56,credit card,Pending,10:22.0
300188,23-04-2024,1961,Customer_3994,SOUTH,Groceries,1,1104.91,1104.91,Debit Card,Pending,10:22.0
300189,10/13/2022,4569,Customer_4826,SOUTH,Clothing,3,677.73,2033.19,,completed,10:22.0
300190,,4353,Customer_1722,South,Electronics,2,3542.35,7084.7,,,10:22.0
300191,14-12-2023,3264,Customer_5165,,Furniture,5,1919.9,9599.5,,Completed,10:22.0
300192,14-08-2022,2456,Customer_2322,North,Electronics,4,1656.67,6626.68,,Cancelled,10:22.0
300193,13-11-2022,4346,Customer_5561,,Electronics,2,3389.27,6778.54,Credit Card,completed,10:22.0
300194,12-05-2024,4451,Customer_2755,West,Clothing,4,1734.07,6936.28,,Cancelled,10:22.0
300195,,4565,Customer_1948,West,Electronics,3,2905.54,10103.18,UPI,Cancelled,10:22.0
300196,29-10-2023,3943,Customer_2897,,Electronics,3,1567.33,4701.99,,,10:22.0
300197,12-04-2023,2328,Customer_163,north ,Furniture,1,3940.41,3940.41,credit card,,10:22.0
300198,20-08-2022,4055,Customer_3481,East,Electronics,5,1630.7,8153.5,credit card,,10:22.0
300199,12/22/2023,2266,Customer_4665,East,Clothing,4,2721.47,10885.88,Credit Card,Cancelled,10:22.0
300200,30-11-2023,1720,Customer_4925,North,Electronics,2,213.56,427.12,credit card,Pending,10:22.0
300201,06/15/2023,3589,Customer_4438,West,Groceries,3,3979.48,11938.44,credit card,,10:22.0
300202,25-08-2022,2995,Customer_4306,North,Clothing,1,3139.66,3139.66,Cash,Completed,10:22.0
300203,04-03-2023,2592,Customer_3979,East,Furniture,1,1041.96,1041.96,UPI,completed,10:22.0
300204,05/19/2024,3132,Customer_3834,north ,Furniture,4,1155.33,4621.32,Debit Card,,10:22.0
300205,11-07-2023,2315,Customer_5237,North,Groceries,3,1386.22,4158.66,UPI,completed,10:22.0
300206,01/22/2023,3727,Customer_2617,North,Furniture,5,2925,14625,UPI,,10:22.0
300207,02-03-2024,1795,Customer_3499,East,Furniture,3,2786.75,8360.25,Credit Card,Completed,10:22.0
300208,05-04-2023,1096,Customer_1711,West,Electronics,4,1441.93,5767.72,Cash,Pending,10:22.0
300209,,1685,Customer_298,East,Groceries,4,3500.91,14003.64,Credit Card,Pending,10:22.0
300210,02-09-2022,1456,Customer_1412,north ,Groceries,3,4456.3,13368.9,Cash,Cancelled,10:22.0
300211,15-01-2024,2233,Customer_409,SOUTH,Electronics,4,313.23,1252.92,Cash,completed,10:22.0
300212,07-03-2024,3775,Customer_2850,West,Furniture,3,2144.26,6432.78,credit card,Cancelled,10:22.0
300213,09-05-2022,1543,Customer_1592,north ,Electronics,2,3008.25,6016.5,Cash,Pending,10:22.0
300214,21-03-2022,1086,Customer_69,East,Clothing,3,2973.53,11293.68,Debit Card,Cancelled,10:22.0
300215,21-04-2024,3489,Customer_3625,West,Clothing,3,195.72,587.16,Debit Card,Completed,10:22.0
300216,04-08-2023,2355,Customer_3745,SOUTH,Furniture,4,1131.77,4527.08,credit card,Cancelled,10:22.0
300217,06/23/2022,3785,Customer_3326,East,Electronics,4,402.97,1611.88,UPI,,10:22.0
300218,03-09-2022,3041,Customer_2604,SOUTH,Electronics,1,2887.93,2887.93,UPI,,10:22.0
300219,05/16/2024,2689,Customer_2140,North,Electronics,1,3262.41,3262.41,credit card,,10:22.0
300220,25-11-2023,2349,Customer_3564,,Furniture,2,882.74,1765.48,Cash,Completed,10:22.0
300221,02-12-2022,2220,Customer_3156,,Clothing,1,1731.75,1731.75,Cash,Cancelled,10:22.0
300222,10/23/2023,3134,Customer_842,SOUTH,Groceries,3,1716.04,5148.12,credit card,Pending,10:22.0
300223,18-03-2023,3225,Customer_158,North,Electronics,4,4117.03,16468.12,credit card,,10:22.0
300224,08-02-2024,1877,Customer_5500,West,Clothing,1,1053.83,1053.83,Debit Card,completed,10:22.0
300225,10/19/2023,2614,Customer_5315,SOUTH,Clothing,1,2786.74,2786.74,,Pending,10:22.0
300226,11-04-2023,2567,Customer_5343,West,Groceries,2,3936.38,7872.76,UPI,Pending,10:22.0
300227,02/26/2022,1185,Customer_5928,north ,Furniture,2,4164.93,8329.86,,,10:22.0
300228,,1575,Customer_2663,,Groceries,3,3366.17,10098.51,credit card,completed,10:22.0
300229,05/22/2024,1332,Customer_5151,East,Furniture,4,1567.69,6270.76,Debit Card,Completed,10:22.0
300230,23-12-2022,3942,Customer_4191,SOUTH,Groceries,2,4132.93,8265.86,Credit Card,Cancelled,10:22.0
300231,01/20/2024,1232,Customer_3082,north ,Groceries,1,3736.61,3736.61,,Pending,10:22.0
300232,21-09-2023,1155,Customer_4936,,Furniture,4,3551.9,14207.6,Debit Card,Pending,10:22.0
300233,01-05-2024,2394,Customer_1749,SOUTH,Furniture,4,429.94,1719.76,credit card,completed,10:22.0
300234,01-01-2024,3912,Customer_3285,East,Groceries,1,312,312,Debit Card,,10:22.0
300235,09-12-2022,2991,Customer_1195,South,Electronics,2,3507.29,7014.58,UPI,completed,10:22.0
300236,14-12-2023,4279,Customer_4910,north ,Furniture,1,4729.49,4729.49,UPI,,10:22.0
300237,04/18/2022,3934,Customer_5077,West,Groceries,4,3891.25,15565,Debit Card,Completed,10:22.0
300238,07-07-2023,1294,Customer_2271,SOUTH,Clothing,5,4174.23,20871.15,,,10:22.0
300239,09/25/2023,3527,Customer_1435,North,Clothing,5,2770.41,13852.05,credit card,Pending,10:22.0
300240,01-03-2024,3767,Customer_861,,Electronics,3,1592.47,4408.59,UPI,Completed,10:22.0
300241,,1812,Customer_1998,East,Electronics,1,3420.91,3420.91,UPI,Completed,10:22.0
300242,09-09-2022,1140,Customer_1035,north ,Electronics,1,3588.66,3588.66,Cash,Pending,10:22.0
300243,28-02-2023,2939,Customer_327,,Furniture,3,3409.25,10227.75,Cash,Completed,10:22.0
300244,28-11-2022,4129,Customer_5253,East,Clothing,3,4738.87,10585.28,,Completed,10:22.0
300245,05-04-2023,1914,Customer_5353,SOUTH,Groceries,3,1899.18,5697.54,Credit Card,completed,10:22.0
300246,10-11-2022,3250,Customer_2619,north ,Electronics,4,294.32,1177.28,Debit Card,completed,10:22.0
300247,12-03-2024,1858,Customer_5537,West,Clothing,1,4551.38,5341.33,,,10:22.0
300248,20-01-2023,1719,Customer_4179,,Clothing,4,886.45,3545.8,Debit Card,Pending,10:22.0
300249,26-05-2022,2928,Customer_815,,Groceries,3,3516.86,10550.58,Debit Card,,10:22.0
300250,30-03-2024,1332,Customer_112,South,Electronics,1,4378.7,4378.7,credit card,completed,10:22.0
300251,10-07-2022,1146,Customer_2729,north ,Furniture,4,1619.69,7787.36,Debit Card,,10:22.0
300252,12/25/2022,3013,Customer_5385,SOUTH,Clothing,4,4169.03,16676.12,,,10:22.0
300253,,2334,Customer_4491,SOUTH,Clothing,3,1727.08,5181.24,credit card,,10:22.0
300254,03-05-2022,3810,Customer_3235,East,Furniture,1,3991.86,3991.86,UPI,,10:22.0
300255,14-10-2022,4446,Customer_4748,north ,Furniture,3,442.17,1326.51,credit card,completed,10:22.0
300256,04-08-2023,2897,Customer_5260,,Groceries,1,3310.69,3310.69,Cash,,10:22.0
300257,05/28/2023,3086,Customer_3710,north ,Electronics,5,3417.98,17089.9,credit card,,10:22.0
300258,08-08-2023,2680,Customer_1634,,Furniture,2,2507.99,5015.98,Debit Card,,10:22.0
300259,06-11-2022,1957,Customer_2098,East,Groceries,2,3466.75,6933.5,UPI,Pending,10:22.0
300260,28-03-2022,4037,Customer_2739,north ,Groceries,2,4623.6,9247.2,Credit Card,completed,10:22.0
300261,06/16/2023,3875,Customer_1913,North,Clothing,3,3695.89,11087.67,Debit Card,Pending,10:22.0
300262,06-03-2023,3857,Customer_2212,South,Electronics,5,4810.35,24051.75,Cash,Cancelled,10:22.0
300263,14-10-2022,1897,Customer_2846,West,Furniture,1,2298.2,1692.93,Cash,Pending,10:22.0
300264,21-04-2022,3097,Customer_425,SOUTH,Furniture,4,2688.62,10754.48,Cash,completed,10:22.0
